Unix,Date,Symbol,Open,High,Low,Close,Volume,Volume Base Asset,tradecount
1672441200000,2022-12-30 23:00:00,BTCUSDT,16580.1,16616.2,16567.2,16601.2,6051.823,100434949.9401,31965
1672437600000,2022-12-30 22:00:00,BTCUSDT,16579.0,16591.8,16572.9,16580.0,4202.952,69696396.2591,24869
1672434000000,2022-12-30 21:00:00,BTCUSDT,16564.6,16666.6,16564.3,16578.9,19159.923,318187636.7389,84130
1672430400000,2022-12-30 20:00:00,BTCUSDT,16520.8,16565.4,16520.5,16564.6,5367.189,88779942.9224,29186
1672426800000,2022-12-30 19:00:00,BTCUSDT,16560.6,16563.2,16520.0,16520.8,6296.634,104189254.6301,34140
1672423200000,2022-12-30 18:00:00,BTCUSDT,16527.2,16568.0,16511.5,16560.5,7633.1669999999995,126241895.3699,40568
1672419600000,2022-12-30 17:00:00,BTCUSDT,16540.2,16544.0,16510.4,16527.2,5803.753000000001,95898984.9334,32642
1672416000000,2022-12-30 16:00:00,BTCUSDT,16547.7,16569.8,16510.0,16540.2,15096.92,249623954.2801,69407
1672412400000,2022-12-30 15:00:00,BTCUSDT,16407.0,16568.5,16395.5,16547.7,38967.847,642986787.8254,163493
1672408800000,2022-12-30 14:00:00,BTCUSDT,16462.1,16496.8,16320.0,16407.0,43665.416,716833178.2889,173844
1672405200000,2022-12-30 13:00:00,BTCUSDT,16490.9,16499.7,16452.3,16462.0,12215.213,201183931.5637,48129
1672401600000,2022-12-30 12:00:00,BTCUSDT,16489.6,16503.6,16467.0,16490.9,9638.673,158906557.447,44449
1672398000000,2022-12-30 11:00:00,BTCUSDT,16482.1,16512.6,16478.1,16489.5,7130.326999999999,117632843.7613,36171
1672394400000,2022-12-30 10:00:00,BTCUSDT,16509.9,16524.9,16479.0,16482.1,10680.323,176286553.0184,42761
1672390800000,2022-12-30 09:00:00,BTCUSDT,16493.0,16524.9,16493.0,16509.8,9820.902,162155952.1222,43838
1672387200000,2022-12-30 08:00:00,BTCUSDT,16467.6,16503.3,16453.0,16493.0,11284.505,185955451.1436,54539
1672383600000,2022-12-30 07:00:00,BTCUSDT,16535.9,16538.7,16410.0,16467.5,33143.498,546112572.7453,129721
1672380000000,2022-12-30 06:00:00,BTCUSDT,16548.1,16566.5,16527.2,16536.0,11000.716999999999,182024472.9995,48689
1672376400000,2022-12-30 05:00:00,BTCUSDT,16608.5,16608.5,16510.5,16548.2,14729.187,243811470.4202,57417
1672372800000,2022-12-30 04:00:00,BTCUSDT,16593.9,16608.5,16586.3,16608.5,3859.308,64046076.6112,20697
1672369200000,2022-12-30 03:00:00,BTCUSDT,16599.9,16609.7,16576.3,16593.9,3911.18,64898489.7702,20413
1672365600000,2022-12-30 02:00:00,BTCUSDT,16603.3,16616.3,16581.0,16600.0,6115.477,101507616.1714,28809
1672362000000,2022-12-30 01:00:00,BTCUSDT,16624.0,16630.3,16595.2,16603.4,4814.354,79971779.411,24422
1672358400000,2022-12-30 00:00:00,BTCUSDT,16630.3,16641.1,16613.1,16623.9,5041.202,83828848.48,27689
1672354800000,2022-12-29 23:00:00,BTCUSDT,16614.1,16649.0,16607.4,16630.3,7879.746999999999,131063829.2494,40121
1672351200000,2022-12-29 22:00:00,BTCUSDT,16590.9,16633.4,16589.0,16614.0,5792.911,96240288.0994,34139
1672347600000,2022-12-29 21:00:00,BTCUSDT,16592.8,16606.0,16585.0,16590.9,4965.705,82407060.1693,25126
1672344000000,2022-12-29 20:00:00,BTCUSDT,16608.0,16613.2,16551.0,16592.9,13853.553,229733955.3901,64452
1672340400000,2022-12-29 19:00:00,BTCUSDT,16628.9,16636.0,16589.0,16608.1,6988.033,116088108.4136,32543
1672336800000,2022-12-29 18:00:00,BTCUSDT,16610.8,16629.0,16599.2,16628.8,4267.452,70895673.3487,26067
1672333200000,2022-12-29 17:00:00,BTCUSDT,16624.9,16632.2,16589.6,16610.8,6726.201,111731491.9712,33884
1672329600000,2022-12-29 16:00:00,BTCUSDT,16610.1,16647.8,16600.2,16625.0,8821.896,146664375.1169,43015
